LOCATION,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUT,TOT,AGRWTH,M,2017-11,2.26378
AUT,TOT,AGRWTH,M,2017-12,2.15475
AUT,TOT,AGRWTH,M,2018-01,1.768173
AUT,TOT,AGRWTH,M,2018-02,1.762977
AUT,TOT,AGRWTH,M,2018-03,1.851852
AUT,TOT,AGRWTH,M,2018-04,1.848249
AUT,TOT,AGRWTH,M,2018-05,1.943635
AUT,TOT,AGRWTH,M,2018-06,2.038835
AUT,TOT,AGRWTH,M,2018-07,2.142162
AUT,TOT,AGRWTH,M,2018-08,2.241715
AUT,TOT,AGRWTH,M,2018-09,2.027027
AUT,TOT,AGRWTH,M,2018-10,2.217936
AUT,TOT,AGRWTH,M,2018-11,2.213667
AUT,TOT,AGRWTH,M,2018-12,1.917546
AUT,TOT,AGRWTH,M,2019-01,1.833977
AUT,TOT,AGRWTH,M,2019-02,1.539942
AUT,TOT,AGRWTH,M,2019-03,1.818182
AUT,TOT,AGRWTH,M,2019-04,1.719198
AUT,TOT,AGRWTH,M,2019-05,1.71592
AUT,TOT,AGRWTH,M,2019-06,1.617507
AUT,TOT,AGRWTH,M,2019-07,1.429933
AUT,TOT,AGRWTH,M,2019-08,1.525262
AUT,TOT,AGRWTH,M,2019-09,1.229896
AUT,TOT,AGRWTH,M,2019-10,1.132075
AUT,TOT,AGRWTH,M,2019-11,1.129943
AUT,TOT,AGRWTH,M,2019-12,1.693321
AUT,TOT,AGRWTH,M,2020-01,1.990521
AUT,TOT,AGRWTH,M,2020-02,2.180095
AUT,TOT,AGRWTH,M,2020-03,1.597744
AUT,TOT,AGRWTH,M,2020-04,1.502347
AUT,TOT,AGRWTH,M,2020-05,0.656045
AUT,TOT,AGRWTH,M,2020-06,1.123595
AUT,TOT,AGRWTH,M,2020-07,1.691729
AUT,TOT,AGRWTH,M,2020-08,1.408451
AUT,TOT,AGRWTH,M,2020-09,1.401869
AUT,TOT,AGRWTH,M,2020-10,1.30597
AUT,TOT,AGRWTH,M,2020-11,1.303538
AUT,TOT,AGRWTH,M,2020-12,1.20259
BEL,TOT,AGRWTH,M,2017-11,2.069432
BEL,TOT,AGRWTH,M,2017-12,2.134441
BEL,TOT,AGRWTH,M,2018-01,1.706943
BEL,TOT,AGRWTH,M,2018-02,1.480845
BEL,TOT,AGRWTH,M,2018-03,1.391669
BEL,TOT,AGRWTH,M,2018-04,1.522505
BEL,TOT,AGRWTH,M,2018-05,1.819048
BEL,TOT,AGRWTH,M,2018-06,2.079359
BEL,TOT,AGRWTH,M,2018-07,2.168331
BEL,TOT,AGRWTH,M,2018-08,2.24292
BEL,TOT,AGRWTH,M,2018-09,2.349919
BEL,TOT,AGRWTH,M,2018-10,2.751162
BEL,TOT,AGRWTH,M,2018-11,2.775936
BEL,TOT,AGRWTH,M,2018-12,2.335697
BEL,TOT,AGRWTH,M,2019-01,1.98944
BEL,TOT,AGRWTH,M,2019-02,2.165317
BEL,TOT,AGRWTH,M,2019-03,2.331485
BEL,TOT,AGRWTH,M,2019-04,2.080795
BEL,TOT,AGRWTH,M,2019-05,1.88944
BEL,TOT,AGRWTH,M,2019-06,1.728649
BEL,TOT,AGRWTH,M,2019-07,1.424183
BEL,TOT,AGRWTH,M,2019-08,1.264176
BEL,TOT,AGRWTH,M,2019-09,0.7994051
BEL,TOT,AGRWTH,M,2019-10,0.4801034
BEL,TOT,AGRWTH,M,2019-11,0.3871681
BEL,TOT,AGRWTH,M,2019-12,0.7577158
BEL,TOT,AGRWTH,M,2020-01,1.405195
BEL,TOT,AGRWTH,M,2020-02,1.096572
BEL,TOT,AGRWTH,M,2020-03,0.6247129
BEL,TOT,AGRWTH,M,2020-04,0.5692774
BEL,TOT,AGRWTH,M,2020-05,0.4773708
BEL,TOT,AGRWTH,M,2020-06,0.5970423
BEL,TOT,AGRWTH,M,2020-07,0.7342144
BEL,TOT,AGRWTH,M,2020-08,0.8169635
BEL,TOT,AGRWTH,M,2020-09,0.9037256
BEL,TOT,AGRWTH,M,2020-10,0.74428
BEL,TOT,AGRWTH,M,2020-11,0.5142332
BEL,TOT,AGRWTH,M,2020-12,0.4126926
BEL,TOT,AGRWTH,M,2021-01,0.2552648
CAN,TOT,AGRWTH,M,2017-11,2.099533
CAN,TOT,AGRWTH,M,2017-12,1.869159
CAN,TOT,AGRWTH,M,2018-01,1.698842
CAN,TOT,AGRWTH,M,2018-02,2.158828
CAN,TOT,AGRWTH,M,2018-03,2.309469
CAN,TOT,AGRWTH,M,2018-04,2.223926
CAN,TOT,AGRWTH,M,2018-05,2.222222
CAN,TOT,AGRWTH,M,2018-06,2.453988
CAN,TOT,AGRWTH,M,2018-07,2.990798
CAN,TOT,AGRWTH,M,2018-08,2.835249
CAN,TOT,AGRWTH,M,2018-09,2.217125
CAN,TOT,AGRWTH,M,2018-10,2.444614
CAN,TOT,AGRWTH,M,2018-11,1.675552
CAN,TOT,AGRWTH,M,2018-12,1.987768
CAN,TOT,AGRWTH,M,2019-01,1.442673
CAN,TOT,AGRWTH,M,2019-02,1.509434
CAN,TOT,AGRWTH,M,2019-03,1.881114
CAN,TOT,AGRWTH,M,2019-04,2.025506
CAN,TOT,AGRWTH,M,2019-05,2.398801
CAN,TOT,AGRWTH,M,2019-06,2.020958
CAN,TOT,AGRWTH,M,2019-07,2.010424
CAN,TOT,AGRWTH,M,2019-08,1.937407
CAN,TOT,AGRWTH,M,2019-09,1.869858
CAN,TOT,AGRWTH,M,2019-10,1.86428
CAN,TOT,AGRWTH,M,2019-11,2.172285
CAN,TOT,AGRWTH,M,2019-12,2.248876
CAN,TOT,AGRWTH,M,2020-01,2.39521
CAN,TOT,AGRWTH,M,2020-02,2.156134
CAN,TOT,AGRWTH,M,2020-03,0.886263
CAN,TOT,AGRWTH,M,2020-04,-0.2205882
CAN,TOT,AGRWTH,M,2020-05,-0.3660322
CAN,TOT,AGRWTH,M,2020-06,0.6603081
CAN,TOT,AGRWTH,M,2020-07,0.1459854
CAN,TOT,AGRWTH,M,2020-08,0.1461988
CAN,TOT,AGRWTH,M,2020-09,0.51395
CAN,TOT,AGRWTH,M,2020-10,0.658858
CAN,TOT,AGRWTH,M,2020-11,0.9530792
CAN,TOT,AGRWTH,M,2020-12,0.7331378
CAN,TOT,AGRWTH,M,2021-01,1.023392
CZE,TOT,AGRWTH,M,2017-11,2.56917
CZE,TOT,AGRWTH,M,2017-12,2.364532
CZE,TOT,AGRWTH,M,2018-01,2.150538
CZE,TOT,AGRWTH,M,2018-02,1.752678
CZE,TOT,AGRWTH,M,2018-03,1.655307
CZE,TOT,AGRWTH,M,2018-04,1.94742
CZE,TOT,AGRWTH,M,2018-05,2.23518
CZE,TOT,AGRWTH,M,2018-06,2.623907
CZE,TOT,AGRWTH,M,2018-07,2.321083
CZE,TOT,AGRWTH,M,2018-08,2.516941
CZE,TOT,AGRWTH,M,2018-09,2.325581
CZE,TOT,AGRWTH,M,2018-10,2.217936
CZE,TOT,AGRWTH,M,2018-11,2.023121
CZE,TOT,AGRWTH,M,2018-12,2.021174
CZE,TOT,AGRWTH,M,2019-01,2.488038
CZE,TOT,AGRWTH,M,2019-02,2.679426
CZE,TOT,AGRWTH,M,2019-03,2.969349
CZE,TOT,AGRWTH,M,2019-04,2.769819
CZE,TOT,AGRWTH,M,2019-05,2.946768
CZE,TOT,AGRWTH,M,2019-06,2.746212
CZE,TOT,AGRWTH,M,2019-07,2.930057
CZE,TOT,AGRWTH,M,2019-08,2.92729
CZE,TOT,AGRWTH,M,2019-09,2.651515
CZE,TOT,AGRWTH,M,2019-10,2.735849
CZE,TOT,AGRWTH,M,2019-11,3.116147
CZE,TOT,AGRWTH,M,2019-12,3.207547
CZE,TOT,AGRWTH,M,2020-01,3.641457
CZE,TOT,AGRWTH,M,2020-02,3.727866
CZE,TOT,AGRWTH,M,2020-03,3.44186
CZE,TOT,AGRWTH,M,2020-04,3.159851
CZE,TOT,AGRWTH,M,2020-05,2.862419
CZE,TOT,AGRWTH,M,2020-06,3.317972
CZE,TOT,AGRWTH,M,2020-07,3.397613
CZE,TOT,AGRWTH,M,2020-08,3.302752
CZE,TOT,AGRWTH,M,2020-09,3.228782
CZE,TOT,AGRWTH,M,2020-10,2.938476
CZE,TOT,AGRWTH,M,2020-11,2.655678
CZE,TOT,AGRWTH,M,2020-12,2.285192
CZE,TOT,AGRWTH,M,2021-01,2.162162
DNK,TOT,AGRWTH,M,2017-11,1.296112
DNK,TOT,AGRWTH,M,2017-12,0.997009
DNK,TOT,AGRWTH,M,2018-01,0.6979063
DNK,TOT,AGRWTH,M,2018-02,0.5934718
DNK,TOT,AGRWTH,M,2018-03,0.4940712
DNK,TOT,AGRWTH,M,2018-04,0.7889546
DNK,TOT,AGRWTH,M,2018-05,1.085883
DNK,TOT,AGRWTH,M,2018-06,1.086957
DNK,TOT,AGRWTH,M,2018-07,1.078431
DNK,TOT,AGRWTH,M,2018-08,0.9832842
DNK,TOT,AGRWTH,M,2018-09,0.5893909
DNK,TOT,AGRWTH,M,2018-10,0.7850834
DNK,TOT,AGRWTH,M,2018-11,0.7874016
DNK,TOT,AGRWTH,M,2018-12,0.7897335
DNK,TOT,AGRWTH,M,2019-01,1.287129
DNK,TOT,AGRWTH,M,2019-02,1.081613
DNK,TOT,AGRWTH,M,2019-03,1.179941
DNK,TOT,AGRWTH,M,2019-04,0.9784736
DNK,TOT,AGRWTH,M,2019-05,0.6835938
DNK,TOT,AGRWTH,M,2019-06,0.5865102
DNK,TOT,AGRWTH,M,2019-07,0.3879728
DNK,TOT,AGRWTH,M,2019-08,0.3894839
DNK,TOT,AGRWTH,M,2019-09,0.4882813
DNK,TOT,AGRWTH,M,2019-10,0.5842259
DNK,TOT,AGRWTH,M,2019-11,0.6835938
DNK,TOT,AGRWTH,M,2019-12,0.7835456
DNK,TOT,AGRWTH,M,2020-01,0.684262
DNK,TOT,AGRWTH,M,2020-02,0.7782101
DNK,TOT,AGRWTH,M,2020-03,0.3887269
DNK,TOT,AGRWTH,M,2020-04,0
DNK,TOT,AGRWTH,M,2020-05,0
DNK,TOT,AGRWTH,M,2020-06,0.2915452
DNK,TOT,AGRWTH,M,2020-07,0.4830918
DNK,TOT,AGRWTH,M,2020-08,0.484966
DNK,TOT,AGRWTH,M,2020-09,0.5830904
DNK,TOT,AGRWTH,M,2020-10,0.3872217
DNK,TOT,AGRWTH,M,2020-11,0.484966
DNK,TOT,AGRWTH,M,2020-12,0.4859087
DNK,TOT,AGRWTH,M,2021-01,0.5825243
FIN,TOT,AGRWTH,M,2017-11,0.7740399
FIN,TOT,AGRWTH,M,2017-12,0.4850525
FIN,TOT,AGRWTH,M,2018-01,0.7967334
FIN,TOT,AGRWTH,M,2018-02,0.5945303
FIN,TOT,AGRWTH,M,2018-03,0.8126053
FIN,TOT,AGRWTH,M,2018-04,0.7508398
FIN,TOT,AGRWTH,M,2018-05,1.019197
FIN,TOT,AGRWTH,M,2018-06,1.1667
FIN,TOT,AGRWTH,M,2018-07,1.368369
FIN,TOT,AGRWTH,M,2018-08,1.256058
FIN,TOT,AGRWTH,M,2018-09,1.263324
FIN,TOT,AGRWTH,M,2018-10,1.530109
FIN,TOT,AGRWTH,M,2018-11,1.260463
FIN,TOT,AGRWTH,M,2018-12,1.18215
FIN,TOT,AGRWTH,M,2019-01,1.086849
FIN,TOT,AGRWTH,M,2019-02,1.260835
FIN,TOT,AGRWTH,M,2019-03,1.120613
FIN,TOT,AGRWTH,M,2019-04,1.461071
FIN,TOT,AGRWTH,M,2019-05,1.175433
FIN,TOT,AGRWTH,M,2019-06,1.016419
FIN,TOT,AGRWTH,M,2019-07,0.8314584
FIN,TOT,AGRWTH,M,2019-08,1.093964
FIN,TOT,AGRWTH,M,2019-09,0.9161794
FIN,TOT,AGRWTH,M,2019-10,0.7486631
FIN,TOT,AGRWTH,M,2019-11,0.6710104
FIN,TOT,AGRWTH,M,2019-12,0.9151981
FIN,TOT,AGRWTH,M,2020-01,0.9871958
FIN,TOT,AGRWTH,M,2020-02,0.8463035
FIN,TOT,AGRWTH,M,2020-03,0.6027024
FIN,TOT,AGRWTH,M,2020-04,-0.318933
FIN,TOT,AGRWTH,M,2020-05,-0.1645851
FIN,TOT,AGRWTH,M,2020-06,-0.03869969
FIN,TOT,AGRWTH,M,2020-07,0.5917734
FIN,TOT,AGRWTH,M,2020-08,0.2028985
FIN,TOT,AGRWTH,M,2020-09,0.1641878
FIN,TOT,AGRWTH,M,2020-10,0.1833623
FIN,TOT,AGRWTH,M,2020-11,0.2125193
FIN,TOT,AGRWTH,M,2020-12,0.2315485
FIN,TOT,AGRWTH,M,2021-01,0.8904375
FRA,TOT,AGRWTH,M,2017-11,1.175884
FRA,TOT,AGRWTH,M,2017-12,1.19225
FRA,TOT,AGRWTH,M,2018-01,1.334528
FRA,TOT,AGRWTH,M,2018-02,1.183726
FRA,TOT,AGRWTH,M,2018-03,1.561728
FRA,TOT,AGRWTH,M,2018-04,1.639344
FRA,TOT,AGRWTH,M,2018-05,2.023492
FRA,TOT,AGRWTH,M,2018-06,2.023293
FRA,TOT,AGRWTH,M,2018-07,2.287808
FRA,TOT,AGRWTH,M,2018-08,2.25638
FRA,TOT,AGRWTH,M,2018-09,2.20073
FRA,TOT,AGRWTH,M,2018-10,2.20842
FRA,TOT,AGRWTH,M,2018-11,1.891067
FRA,TOT,AGRWTH,M,2018-12,1.590574
FRA,TOT,AGRWTH,M,2019-01,1.238329
FRA,TOT,AGRWTH,M,2019-02,1.317342
FRA,TOT,AGRWTH,M,2019-03,1.109489
FRA,TOT,AGRWTH,M,2019-04,1.263117
FRA,TOT,AGRWTH,M,2019-05,0.9384675
FRA,TOT,AGRWTH,M,2019-06,1.170552
FRA,TOT,AGRWTH,M,2019-07,1.065066
FRA,TOT,AGRWTH,M,2019-08,1.040663
FRA,TOT,AGRWTH,M,2019-09,0.9076864
FRA,TOT,AGRWTH,M,2019-10,0.7620334
FRA,TOT,AGRWTH,M,2019-11,1.034316
FRA,TOT,AGRWTH,M,2019-12,1.45936
FRA,TOT,AGRWTH,M,2020-01,1.485293
FRA,TOT,AGRWTH,M,2020-02,1.426354
FRA,TOT,AGRWTH,M,2020-03,0.6737896
FRA,TOT,AGRWTH,M,2020-04,0.326233
FRA,TOT,AGRWTH,M,2020-05,0.3642289
FRA,TOT,AGRWTH,M,2020-06,0.2008032
FRA,TOT,AGRWTH,M,2020-07,0.7760108
FRA,TOT,AGRWTH,M,2020-08,0.2193401
FRA,TOT,AGRWTH,M,2020-09,0.04784689
FRA,TOT,AGRWTH,M,2020-10,0.04786521
FRA,TOT,AGRWTH,M,2020-11,0.2009185
FRA,TOT,AGRWTH,M,2020-12,-0.01905125
DEU,TOT,AGRWTH,M,2017-11,1.59204
DEU,TOT,AGRWTH,M,2017-12,1.383399
DEU,TOT,AGRWTH,M,2018-01,1.39165
DEU,TOT,AGRWTH,M,2018-02,1.086957
DEU,TOT,AGRWTH,M,2018-03,1.47929
DEU,TOT,AGRWTH,M,2018-04,1.277014
DEU,TOT,AGRWTH,M,2018-05,2.062868
DEU,TOT,AGRWTH,M,2018-06,1.860921
DEU,TOT,AGRWTH,M,2018-07,1.853659
DEU,TOT,AGRWTH,M,2018-08,1.851852
DEU,TOT,AGRWTH,M,2018-09,1.94742
DEU,TOT,AGRWTH,M,2018-10,2.341463
DEU,TOT,AGRWTH,M,2018-11,2.056807
DEU,TOT,AGRWTH,M,2018-12,1.559454
DEU,TOT,AGRWTH,M,2019-01,1.372549
DEU,TOT,AGRWTH,M,2019-02,1.466276
DEU,TOT,AGRWTH,M,2019-03,1.263363
DEU,TOT,AGRWTH,M,2019-04,2.036857
DEU,TOT,AGRWTH,M,2019-05,1.443696
DEU,TOT,AGRWTH,M,2019-06,1.634615
DEU,TOT,AGRWTH,M,2019-07,1.724138
DEU,TOT,AGRWTH,M,2019-08,1.435407
DEU,TOT,AGRWTH,M,2019-09,1.241643
DEU,TOT,AGRWTH,M,2019-10,1.143947
DEU,TOT,AGRWTH,M,2019-11,1.055662
DEU,TOT,AGRWTH,M,2019-12,1.535509
DEU,TOT,AGRWTH,M,2020-01,1.740812
DEU,TOT,AGRWTH,M,2020-02,1.734104
DEU,TOT,AGRWTH,M,2020-03,1.439539
DEU,TOT,AGRWTH,M,2020-04,0.8555133
DEU,TOT,AGRWTH,M,2020-05,0.5692599
DEU,TOT,AGRWTH,M,2020-06,0.8514664
DEU,TOT,AGRWTH,M,2020-07,-0.09416196
DEU,TOT,AGRWTH,M,2020-08,0
DEU,TOT,AGRWTH,M,2020-09,-0.1886792
DEU,TOT,AGRWTH,M,2020-10,-0.1885014
DEU,TOT,AGRWTH,M,2020-11,-0.2849003
DEU,TOT,AGRWTH,M,2020-12,-0.2835539
DEU,TOT,AGRWTH,M,2021-01,1.045627
GRC,TOT,AGRWTH,M,2017-11,1.142597
GRC,TOT,AGRWTH,M,2017-12,0.6521946
GRC,TOT,AGRWTH,M,2018-01,-0.1753042
GRC,TOT,AGRWTH,M,2018-02,0.05949596
GRC,TOT,AGRWTH,M,2018-03,-0.2337637
GRC,TOT,AGRWTH,M,2018-04,0.03723165
GRC,TOT,AGRWTH,M,2018-05,0.6057603
GRC,TOT,AGRWTH,M,2018-06,0.9716138
GRC,TOT,AGRWTH,M,2018-07,0.8519518
GRC,TOT,AGRWTH,M,2018-08,0.9700429
GRC,TOT,AGRWTH,M,2018-09,1.090431
GRC,TOT,AGRWTH,M,2018-10,1.768632
GRC,TOT,AGRWTH,M,2018-11,0.9867453
GRC,TOT,AGRWTH,M,2018-12,0.5631812
GRC,TOT,AGRWTH,M,2019-01,0.4389482
GRC,TOT,AGRWTH,M,2019-02,0.620247
GRC,TOT,AGRWTH,M,2019-03,0.9430231
GRC,TOT,AGRWTH,M,2019-04,1.020313
GRC,TOT,AGRWTH,M,2019-05,0.2272745
GRC,TOT,AGRWTH,M,2019-06,-0.2778766
GRC,TOT,AGRWTH,M,2019-07,0.04659723
GRC,TOT,AGRWTH,M,2019-08,-0.1703579
GRC,TOT,AGRWTH,M,2019-09,-0.07442931
GRC,TOT,AGRWTH,M,2019-10,-0.7118279
GRC,TOT,AGRWTH,M,2019-11,0.2228283
GRC,TOT,AGRWTH,M,2019-12,0.7800956
GRC,TOT,AGRWTH,M,2020-01,0.8631724
GRC,TOT,AGRWTH,M,2020-02,0.2293238
GRC,TOT,AGRWTH,M,2020-03,-0.003773859
GRC,TOT,AGRWTH,M,2020-04,-1.435417
GRC,TOT,AGRWTH,M,2020-05,-1.142167
GRC,TOT,AGRWTH,M,2020-06,-1.569244
GRC,TOT,AGRWTH,M,2020-07,-1.808604
GRC,TOT,AGRWTH,M,2020-08,-1.908609
GRC,TOT,AGRWTH,M,2020-09,-1.982161
GRC,TOT,AGRWTH,M,2020-10,-1.767765
GRC,TOT,AGRWTH,M,2020-11,-2.065083
GRC,TOT,AGRWTH,M,2020-12,-2.320246
GRC,TOT,AGRWTH,M,2021-01,-1.96412
HUN,TOT,AGRWTH,M,2017-11,2.5
HUN,TOT,AGRWTH,M,2017-12,2.1
HUN,TOT,AGRWTH,M,2018-01,2.1
HUN,TOT,AGRWTH,M,2018-02,1.9
HUN,TOT,AGRWTH,M,2018-03,2
HUN,TOT,AGRWTH,M,2018-04,2.3
HUN,TOT,AGRWTH,M,2018-05,2.8
HUN,TOT,AGRWTH,M,2018-06,3.1
HUN,TOT,AGRWTH,M,2018-07,3.4
HUN,TOT,AGRWTH,M,2018-08,3.4
HUN,TOT,AGRWTH,M,2018-09,3.6
HUN,TOT,AGRWTH,M,2018-10,3.8
HUN,TOT,AGRWTH,M,2018-11,3.1
HUN,TOT,AGRWTH,M,2018-12,2.7
HUN,TOT,AGRWTH,M,2019-01,2.7
HUN,TOT,AGRWTH,M,2019-02,3.1
HUN,TOT,AGRWTH,M,2019-03,3.7
HUN,TOT,AGRWTH,M,2019-04,3.9
HUN,TOT,AGRWTH,M,2019-05,3.9
HUN,TOT,AGRWTH,M,2019-06,3.4
HUN,TOT,AGRWTH,M,2019-07,3.3
HUN,TOT,AGRWTH,M,2019-08,3.1
HUN,TOT,AGRWTH,M,2019-09,2.8
HUN,TOT,AGRWTH,M,2019-10,2.9
HUN,TOT,AGRWTH,M,2019-11,3.4
HUN,TOT,AGRWTH,M,2019-12,4
HUN,TOT,AGRWTH,M,2020-01,4.7
HUN,TOT,AGRWTH,M,2020-02,4.4
HUN,TOT,AGRWTH,M,2020-03,3.9
HUN,TOT,AGRWTH,M,2020-04,2.4
HUN,TOT,AGRWTH,M,2020-05,2.2
HUN,TOT,AGRWTH,M,2020-06,2.9
HUN,TOT,AGRWTH,M,2020-07,3.8
HUN,TOT,AGRWTH,M,2020-08,3.9
HUN,TOT,AGRWTH,M,2020-09,3.4
HUN,TOT,AGRWTH,M,2020-10,3
HUN,TOT,AGRWTH,M,2020-11,2.7
HUN,TOT,AGRWTH,M,2020-12,2.7
ISL,TOT,AGRWTH,M,2017-11,1.733313
ISL,TOT,AGRWTH,M,2017-12,1.870849
ISL,TOT,AGRWTH,M,2018-01,2.371442
ISL,TOT,AGRWTH,M,2018-02,2.23723
ISL,TOT,AGRWTH,M,2018-03,2.756066
ISL,TOT,AGRWTH,M,2018-04,2.268235
ISL,TOT,AGRWTH,M,2018-05,1.995368
ISL,TOT,AGRWTH,M,2018-06,2.61825
ISL,TOT,AGRWTH,M,2018-07,2.704568
ISL,TOT,AGRWTH,M,2018-08,2.620306
ISL,TOT,AGRWTH,M,2018-09,2.749057
ISL,TOT,AGRWTH,M,2018-10,2.844474
ISL,TOT,AGRWTH,M,2018-11,3.267375
ISL,TOT,AGRWTH,M,2018-12,3.738919
ISL,TOT,AGRWTH,M,2019-01,3.386141
ISL,TOT,AGRWTH,M,2019-02,2.980616
ISL,TOT,AGRWTH,M,2019-03,2.937778
ISL,TOT,AGRWTH,M,2019-04,3.275407
ISL,TOT,AGRWTH,M,2019-05,3.589122
ISL,TOT,AGRWTH,M,2019-06,3.344101
ISL,TOT,AGRWTH,M,2019-07,3.062952
ISL,TOT,AGRWTH,M,2019-08,3.164997
ISL,TOT,AGRWTH,M,2019-09,2.993297
ISL,TOT,AGRWTH,M,2019-10,2.7844
ISL,TOT,AGRWTH,M,2019-11,2.655934
ISL,TOT,AGRWTH,M,2019-12,2.030462
ISL,TOT,AGRWTH,M,2020-01,1.698286
ISL,TOT,AGRWTH,M,2020-02,2.438648
ISL,TOT,AGRWTH,M,2020-03,2.130863
ISL,TOT,AGRWTH,M,2020-04,2.265598
ISL,TOT,AGRWTH,M,2020-05,2.576473
ISL,TOT,AGRWTH,M,2020-06,2.65082
ISL,TOT,AGRWTH,M,2020-07,3.023342
ISL,TOT,AGRWTH,M,2020-08,3.198588
ISL,TOT,AGRWTH,M,2020-09,3.503318
ISL,TOT,AGRWTH,M,2020-10,3.570388
ISL,TOT,AGRWTH,M,2020-11,3.492636
ISL,TOT,AGRWTH,M,2020-12,3.575357
ISL,TOT,AGRWTH,M,2021-01,4.29919
IRL,TOT,AGRWTH,M,2017-11,0.5
IRL,TOT,AGRWTH,M,2017-12,0.4
IRL,TOT,AGRWTH,M,2018-01,0.201005
IRL,TOT,AGRWTH,M,2018-02,0.4995005
IRL,TOT,AGRWTH,M,2018-03,0.1986097
IRL,TOT,AGRWTH,M,2018-04,-0.3956479
IRL,TOT,AGRWTH,M,2018-05,0.3964321
IRL,TOT,AGRWTH,M,2018-06,0.3960396
IRL,TOT,AGRWTH,M,2018-07,0.7920792
IRL,TOT,AGRWTH,M,2018-08,0.6903353
IRL,TOT,AGRWTH,M,2018-09,0.8928571
IRL,TOT,AGRWTH,M,2018-10,0.8937438
IRL,TOT,AGRWTH,M,2018-11,0.5970149
IRL,TOT,AGRWTH,M,2018-12,0.6972111
IRL,TOT,AGRWTH,M,2019-01,0.7021063
IRL,TOT,AGRWTH,M,2019-02,0.5964215
IRL,TOT,AGRWTH,M,2019-03,1.090188
IRL,TOT,AGRWTH,M,2019-04,1.688183
IRL,TOT,AGRWTH,M,2019-05,0.9871668
IRL,TOT,AGRWTH,M,2019-06,1.084813
IRL,TOT,AGRWTH,M,2019-07,0.4911591
IRL,TOT,AGRWTH,M,2019-08,0.6856024
IRL,TOT,AGRWTH,M,2019-09,0.8849558
IRL,TOT,AGRWTH,M,2019-10,0.6889764
IRL,TOT,AGRWTH,M,2019-11,1.088032
IRL,TOT,AGRWTH,M,2019-12,1.285856
IRL,TOT,AGRWTH,M,2020-01,1.294821
IRL,TOT,AGRWTH,M,2020-02,1.086957
IRL,TOT,AGRWTH,M,2020-03,0.6862745
IRL,TOT,AGRWTH,M,2020-04,-0.09765625
IRL,TOT,AGRWTH,M,2020-05,-0.4887586
IRL,TOT,AGRWTH,M,2020-06,-0.3902439
IRL,TOT,AGRWTH,M,2020-07,-0.3910069
IRL,TOT,AGRWTH,M,2020-08,-0.9727626
IRL,TOT,AGRWTH,M,2020-09,-1.169591
IRL,TOT,AGRWTH,M,2020-10,-1.466276
IRL,TOT,AGRWTH,M,2020-11,-1.076321
IRL,TOT,AGRWTH,M,2020-12,-0.9765625
IRL,TOT,AGRWTH,M,2021-01,-0.1966568
ITA,TOT,AGRWTH,M,2017-11,0.9009009
ITA,TOT,AGRWTH,M,2017-12,0.8973081
ITA,TOT,AGRWTH,M,2018-01,0.8946322
ITA,TOT,AGRWTH,M,2018-02,0.4950495
ITA,TOT,AGRWTH,M,2018-03,0.7920792
ITA,TOT,AGRWTH,M,2018-04,0.4930966
ITA,TOT,AGRWTH,M,2018-05,0.9881423
ITA,TOT,AGRWTH,M,2018-06,1.285856
ITA,TOT,AGRWTH,M,2018-07,1.482213
ITA,TOT,AGRWTH,M,2018-08,1.576355
ITA,TOT,AGRWTH,M,2018-09,1.383399
ITA,TOT,AGRWTH,M,2018-10,1.584158
ITA,TOT,AGRWTH,M,2018-11,1.587302
ITA,TOT,AGRWTH,M,2018-12,1.086957
ITA,TOT,AGRWTH,M,2019-01,0.8866995
ITA,TOT,AGRWTH,M,2019-02,0.9852217
ITA,TOT,AGRWTH,M,2019-03,0.9823183
ITA,TOT,AGRWTH,M,2019-04,1.07949
ITA,TOT,AGRWTH,M,2019-05,0.7827789
ITA,TOT,AGRWTH,M,2019-06,0.6835938
